,update cost,average transportation cost,total cost,average delevery time,average distance between hubs,overall score
0.001,2325.661984,9783.102025087175,12108.764009087176,1229.001676573693,886.6666666666666,6668.882842830434
0.01,2325.6619840000003,9800.428567351804,12126.090551351805,1224.0716354214296,886.6666666666666,6675.081093386617
0.05,2194.241479,10355.278012498184,12549.519491498184,1230.2594116750495,788.8333333333334,6889.889451586617
0.1,2406.370554,9978.629161103636,12384.999715103637,1223.7445511354977,792.3333333333334,6804.3721331195675
0.2,2406.370554,9979.242519737685,12385.613073737684,1223.7445511354977,792.3333333333334,6804.678812436591
0.8,2647.123316,10076.035515927584,12723.158831927583,1196.482853223594,896.5,6959.820842575588
1.0,2784.732365,10563.093528425545,13347.825893425545,1190.361835086115,852.0,7269.093864255829
